,0,1,2,3,4
block1_conv1,0.785846563495036,0.7802517604090468,0.759114119526822,0.768910140431516,0.8238921412566923
block1_conv2,0.18899611426381055,0.21882768666427782,0.19718247438652178,0.2037973881158272,0.23351840068783705
block1_pool,0.29187921410604567,0.3292972347247262,0.26725255124573416,0.326736724362406,0.36257653099853876
block2_conv1,0.18241413808903337,0.21493935593739483,0.18042884738246207,0.21278510386565866,0.25337765819274394
block2_conv2,0.15086094683304332,0.16982029370312313,0.14099183228357917,0.16030543496228125,0.20106928536397262
block2_pool,-0.04317365329232311,-0.05167670905110326,-0.013865349710399679,-0.041669031044692564,-0.0019404693359536464
block3_conv1,-0.004182419544139892,0.0009790687466648645,0.028487278051160973,0.0039018510563378723,0.04045954483594377
block3_conv2,0.032506499697811414,0.027212982158215507,0.03342477927165265,0.016654137303230405,0.04991934637205191
block3_conv3,0.014239885071721078,0.01892640818877221,0.01517792387207179,0.00027713405582249935,0.027478181446772765
block3_conv4,0.018115359544489062,0.02994216194016436,0.0197873078420034,0.002008586558647474,0.027371009831842836
block3_pool,0.020023737476257897,0.036220351922119406,0.03405456246508418,0.011145789660742733,0.04032265643772648
block4_conv1,0.00512415870743951,0.02068684899555694,0.019532815196485476,-0.008726945009896996,0.014491590736976142
block4_conv2,0.05206054426981847,0.06285448606802312,0.034650376428285355,0.03947253914698796,0.05897451418598224
block4_conv3,0.06662285824604683,0.07112040627370698,0.04626642708713312,0.046990448763703944,0.07983541295816818
block4_conv4,0.005488137536016478,0.028641541354827833,0.011887001009585028,-0.005711069542930072,0.011017079399856208
block4_pool,-0.01572503582031214,0.003045903577951516,0.0033177223400574136,-0.018000957697193103,-0.01601060802510605
block5_conv1,-0.014235999575247453,0.004568553829424692,-0.002714031802618908,-0.025570310390201915,-0.014408507648593315
block5_conv2,0.01207606229724993,0.019465654662481777,0.008430126490470728,0.010399745473010268,0.008351342428823497
block5_conv3,0.01168939643124673,0.011134250863257745,0.009671522082550484,0.02041818272330573,-0.0012811565812215298
